;Side;Type;Metric;Value
0;head;optimistic;z_inverse_harmonic_mean_rank;-17.598933873447407
1;tail;optimistic;z_inverse_harmonic_mean_rank;-17.087534280691337
2;both;optimistic;z_inverse_harmonic_mean_rank;-24.526035877425663
3;head;realistic;z_inverse_harmonic_mean_rank;-17.598933015569763
4;tail;realistic;z_inverse_harmonic_mean_rank;-17.08753449966734
5;both;realistic;z_inverse_harmonic_mean_rank;-24.526037132945504
6;head;pessimistic;z_inverse_harmonic_mean_rank;-17.598934081786254
7;tail;pessimistic;z_inverse_harmonic_mean_rank;-17.08753456627954
8;both;pessimistic;z_inverse_harmonic_mean_rank;-24.526036226822875
9;head;optimistic;adjusted_arithmetic_mean_rank_index;-0.0005273823326601423
10;tail;optimistic;adjusted_arithmetic_mean_rank_index;-0.0005542287125335221
11;both;optimistic;adjusted_arithmetic_mean_rank_index;-0.0005407427946553245
12;head;realistic;adjusted_arithmetic_mean_rank_index;-0.000527425275236304
13;tail;realistic;adjusted_arithmetic_mean_rank_index;-0.000554126185219328
14;both;realistic;adjusted_arithmetic_mean_rank_index;-0.0005407133421841959
15;head;pessimistic;adjusted_arithmetic_mean_rank_index;-0.000527399187194133
16;tail;pessimistic;adjusted_arithmetic_mean_rank_index;-0.0005542452645697082
17;both;pessimistic;adjusted_arithmetic_mean_rank_index;-0.0005407594986470698
18;head;optimistic;arithmetic_mean_rank;48507.54088685213
19;tail;optimistic;arithmetic_mean_rank;48057.58695563356
20;both;optimistic;arithmetic_mean_rank;48282.56392124284
21;head;realistic;arithmetic_mean_rank;48507.54296875
22;tail;realistic;arithmetic_mean_rank;48057.58203125
23;both;realistic;arithmetic_mean_rank;48282.5625
24;head;pessimistic;arithmetic_mean_rank;48507.541703976334
25;tail;pessimistic;arithmetic_mean_rank;48057.58775062731
26;both;pessimistic;arithmetic_mean_rank;48282.56472730182
27;head;optimistic;inverse_arithmetic_mean_rank;2.0615351380779804e-05
28;tail;optimistic;inverse_arithmetic_mean_rank;2.080836894543193e-05
29;both;optimistic;inverse_arithmetic_mean_rank;2.071141047172167e-05
30;head;realistic;inverse_arithmetic_mean_rank;2.0615350877051242e-05
31;tail;realistic;inverse_arithmetic_mean_rank;2.0808371118619107e-05
32;both;realistic;inverse_arithmetic_mean_rank;2.07114117074525e-05
33;head;pessimistic;inverse_arithmetic_mean_rank;2.061535103350798e-05
34;tail;pessimistic;inverse_arithmetic_mean_rank;2.080836860120901e-05
35;both;pessimistic;inverse_arithmetic_mean_rank;2.0711410125952587e-05
36;head;optimistic;inverse_geometric_mean_rank;2.2214166381555825e-05
37;tail;optimistic;inverse_geometric_mean_rank;2.3164320968330934e-05
38;both;optimistic;inverse_geometric_mean_rank;2.2684269441757858e-05
39;head;realistic;inverse_geometric_mean_rank;2.221417526016012e-05
40;tail;realistic;inverse_geometric_mean_rank;2.3164298909250647e-05
41;both;realistic;inverse_geometric_mean_rank;2.2684220311930403e-05
42;head;pessimistic;inverse_geometric_mean_rank;2.221416586652988e-05
43;tail;pessimistic;inverse_geometric_mean_rank;2.316432040292103e-05
44;both;pessimistic;inverse_geometric_mean_rank;2.268426890194901e-05
45;head;optimistic;inverse_harmonic_mean_rank;2.9838679671112212e-05
46;tail;optimistic;inverse_harmonic_mean_rank;3.328085253038938e-05
47;both;optimistic;inverse_harmonic_mean_rank;3.155976610075081e-05
48;head;realistic;inverse_harmonic_mean_rank;2.9838684279238603e-05
49;tail;realistic;inverse_harmonic_mean_rank;3.328085134814122e-05
50;both;realistic;inverse_harmonic_mean_rank;3.155976131977023e-05
51;head;pessimistic;inverse_harmonic_mean_rank;2.983867855201119e-05
52;tail;pessimistic;inverse_harmonic_mean_rank;3.3280850988502945e-05
53;both;pessimistic;inverse_harmonic_mean_rank;3.1559764770257065e-05
54;head;optimistic;median_rank;48526.0
55;tail;optimistic;median_rank;48104.0
56;both;optimistic;median_rank;48368.0
57;head;realistic;median_rank;48526.0
58;tail;realistic;median_rank;48104.0
59;both;realistic;median_rank;48368.0
60;head;pessimistic;median_rank;48526.0
61;tail;pessimistic;median_rank;48104.0
62;both;pessimistic;median_rank;48368.0
63;head;optimistic;standard_deviation;16061.446527386868
64;tail;optimistic;standard_deviation;18563.257016748765
65;both;optimistic;standard_deviation;17358.94301062265
66;head;realistic;standard_deviation;16061.4453125
67;tail;realistic;standard_deviation;18563.2578125
68;both;realistic;standard_deviation;17358.9453125
69;head;pessimistic;standard_deviation;16061.44645105443
70;tail;pessimistic;standard_deviation;18563.257003404706
71;both;pessimistic;standard_deviation;17358.94296831766
72;head;optimistic;median_absolute_deviation;13101.755804934004
73;tail;optimistic;median_absolute_deviation;17456.158520684956
74;both;optimistic;median_absolute_deviation;15202.603148556442
75;head;realistic;median_absolute_deviation;13101.755804934004
76;tail;realistic;median_absolute_deviation;17456.158520684956
77;both;realistic;median_absolute_deviation;15202.603148556442
78;head;pessimistic;median_absolute_deviation;13101.755804934004
79;tail;pessimistic;median_absolute_deviation;17456.158520684956
80;both;pessimistic;median_absolute_deviation;15202.603148556442
81;head;optimistic;variance;257970064.5521077
82;tail;optimistic;variance;344594511.06987226
83;both;optimistic;variance;301332902.4460449
84;head;realistic;variance;257970032.0
85;tail;realistic;variance;344594528.0
86;both;realistic;variance;301332992.0
87;head;pessimistic;variance;257970062.10008892
88;tail;pessimistic;variance;344594510.57445383
89;both;pessimistic;variance;301332900.9773052
90;head;optimistic;z_geometric_mean_rank;-200.83832118905138
91;tail;optimistic;z_geometric_mean_rank;-170.25374785390738
92;both;optimistic;z_geometric_mean_rank;-259.515817198828
93;head;realistic;z_geometric_mean_rank;-200.83792972235824
94;tail;realistic;z_geometric_mean_rank;-170.25462040489367
95;both;realistic;z_geometric_mean_rank;-259.518708075012
96;head;pessimistic;z_geometric_mean_rank;-200.83834362309665
97;tail;pessimistic;z_geometric_mean_rank;-170.25377072652054
98;both;pessimistic;z_geometric_mean_rank;-259.5158489130308
99;head;optimistic;z_arithmetic_mean_rank;-0.7000912790476832
100;tail;optimistic;z_arithmetic_mean_rank;-0.7354443737860947
101;both;optimistic;z_arithmetic_mean_rank;-1.0149548354177114
102;head;realistic;z_arithmetic_mean_rank;-0.7001482846035287
103;tail;realistic;z_arithmetic_mean_rank;-0.7353083232085282
104;both;realistic;z_arithmetic_mean_rank;-1.0148995541853765
105;head;pessimistic;z_arithmetic_mean_rank;-0.7001136531612246
106;tail;pessimistic;z_arithmetic_mean_rank;-0.7354663378264377
107;both;pessimistic;z_arithmetic_mean_rank;-1.0149861882111963
108;head;optimistic;adjusted_arithmetic_mean_rank;1.0005273714547545
109;tail;optimistic;adjusted_arithmetic_mean_rank;1.0005542171735466
110;both;optimistic;adjusted_arithmetic_mean_rank;1.0005407315890533
111;head;realistic;adjusted_arithmetic_mean_rank;1.0005274143964449
112;tail;realistic;adjusted_arithmetic_mean_rank;1.000554114648367
113;both;realistic;adjusted_arithmetic_mean_rank;1.0005407021371926
114;head;pessimistic;adjusted_arithmetic_mean_rank;1.0005273883089407
115;tail;pessimistic;adjusted_arithmetic_mean_rank;1.000554233725238
116;both;pessimistic;adjusted_arithmetic_mean_rank;1.000540748292699
117;head;optimistic;adjusted_inverse_harmonic_mean_rank;-9.454518346446763e-05
118;tail;optimistic;adjusted_inverse_harmonic_mean_rank;-9.226692464334377e-05
119;both;optimistic;adjusted_inverse_harmonic_mean_rank;-9.340605471701315e-05
120;head;realistic;adjusted_inverse_harmonic_mean_rank;-9.454517885576803e-05
121;tail;realistic;adjusted_inverse_harmonic_mean_rank;-9.226692582574037e-05
122;both;realistic;adjusted_inverse_harmonic_mean_rank;-9.340605949859121e-05
123;head;pessimistic;adjusted_inverse_harmonic_mean_rank;-9.454518458370784e-05
124;tail;pessimistic;adjusted_inverse_harmonic_mean_rank;-9.226692618542379e-05
125;both;pessimistic;adjusted_inverse_harmonic_mean_rank;-9.340605604767317e-05
126;head;optimistic;adjusted_geometric_mean_rank_index;-0.26192829378252336
127;tail;optimistic;adjusted_geometric_mean_rank_index;-0.22203313390763357
128;both;optimistic;adjusted_geometric_mean_rank_index;-0.24182105832180567
129;head;realistic;adjusted_geometric_mean_rank_index;-0.26192778324149524
130;tail;realistic;adjusted_geometric_mean_rank_index;-0.2220342718281343
131;both;realistic;adjusted_geometric_mean_rank_index;-0.24182375208724105
132;head;pessimistic;adjusted_geometric_mean_rank_index;-0.26192832304044167
133;tail;pessimistic;adjusted_geometric_mean_rank_index;-0.22203316373650983
134;both;pessimistic;adjusted_geometric_mean_rank_index;-0.24182108787361556
135;head;optimistic;geometric_mean_rank;45016.31899319386
136;tail;optimistic;geometric_mean_rank;43169.838708725736
137;both;optimistic;geometric_mean_rank;44083.41218867605
138;head;realistic;geometric_mean_rank;45016.30078125
139;tail;realistic;geometric_mean_rank;43169.87890625
140;both;realistic;geometric_mean_rank;44083.5078125
141;head;pessimistic;geometric_mean_rank;45016.32003687799
142;tail;pessimistic;geometric_mean_rank;43169.83976244344
143;both;pessimistic;geometric_mean_rank;44083.413237712106
144;head;optimistic;harmonic_mean_rank;33513.547215298946
145;tail;optimistic;harmonic_mean_rank;30047.307204251483
146;both;optimistic;harmonic_mean_rank;31685.91290593278
147;head;realistic;harmonic_mean_rank;33513.54203964643
148;tail;realistic;harmonic_mean_rank;30047.308271633243
149;both;realistic;harmonic_mean_rank;31685.91770602404
150;head;pessimistic;harmonic_mean_rank;33513.54847222609
151;tail;pessimistic;harmonic_mean_rank;30047.30859632933
152;both;pessimistic;harmonic_mean_rank;31685.914241744667
153;head;optimistic;inverse_median_rank;2.0607509376416766e-05
154;tail;optimistic;inverse_median_rank;2.0788292033926492e-05
155;both;optimistic;inverse_median_rank;2.0674826331458817e-05
156;head;realistic;inverse_median_rank;2.0607509213732556e-05
157;tail;realistic;inverse_median_rank;2.0788291294593364e-05
158;both;realistic;inverse_median_rank;2.067482637357898e-05
159;head;pessimistic;inverse_median_rank;2.0607509376416766e-05
160;tail;pessimistic;inverse_median_rank;2.0788292033926492e-05
161;both;pessimistic;inverse_median_rank;2.0674826331458817e-05
162;head;optimistic;count;587426.0
163;tail;optimistic;count;587426.0
164;both;optimistic;count;1174852.0
165;head;realistic;count;587426.0
166;tail;realistic;count;587426.0
167;both;realistic;count;1174852.0
168;head;pessimistic;count;587426.0
169;tail;pessimistic;count;587426.0
170;both;pessimistic;count;1174852.0
171;head;optimistic;hits_at_1;1.7023420822367412e-06
172;tail;optimistic;hits_at_1;0.0
173;both;optimistic;hits_at_1;8.511710411183706e-07
174;head;realistic;hits_at_1;1.7023420822367412e-06
175;tail;realistic;hits_at_1;0.0
176;both;realistic;hits_at_1;8.511710411183706e-07
177;head;pessimistic;hits_at_1;1.7023420822367412e-06
178;tail;pessimistic;hits_at_1;0.0
179;both;pessimistic;hits_at_1;8.511710411183706e-07
180;head;optimistic;hits_at_3;1.7023420822367412e-06
181;tail;optimistic;hits_at_3;0.0
182;both;optimistic;hits_at_3;8.511710411183706e-07
183;head;realistic;hits_at_3;1.7023420822367412e-06
184;tail;realistic;hits_at_3;0.0
185;both;realistic;hits_at_3;8.511710411183706e-07
186;head;pessimistic;hits_at_3;1.7023420822367412e-06
187;tail;pessimistic;hits_at_3;0.0
188;both;pessimistic;hits_at_3;8.511710411183706e-07
189;head;optimistic;hits_at_5;3.4046841644734825e-06
190;tail;optimistic;hits_at_5;1.7023420822367412e-06
191;both;optimistic;hits_at_5;2.553513123355112e-06
192;head;realistic;hits_at_5;3.4046841644734825e-06
193;tail;realistic;hits_at_5;1.7023420822367412e-06
194;both;realistic;hits_at_5;2.553513123355112e-06
195;head;pessimistic;hits_at_5;3.4046841644734825e-06
196;tail;pessimistic;hits_at_5;1.7023420822367412e-06
197;both;pessimistic;hits_at_5;2.553513123355112e-06
198;head;optimistic;hits_at_10;5.107026246710224e-06
199;tail;optimistic;hits_at_10;6.809368328946965e-06
200;both;optimistic;hits_at_10;5.958197287828595e-06
201;head;realistic;hits_at_10;5.107026246710224e-06
202;tail;realistic;hits_at_10;6.809368328946965e-06
203;both;realistic;hits_at_10;5.958197287828595e-06
204;head;pessimistic;hits_at_10;5.107026246710224e-06
205;tail;pessimistic;hits_at_10;6.809368328946965e-06
206;both;pessimistic;hits_at_10;5.958197287828595e-06
207;head;optimistic;z_hits_at_k;-7.398497251469794
208;tail;optimistic;z_hits_at_k;-7.312433340259398
209;both;optimistic;z_hits_at_k;-10.402009797466292
210;head;realistic;z_hits_at_k;-7.398497251469794
211;tail;realistic;z_hits_at_k;-7.312433340259398
212;both;realistic;z_hits_at_k;-10.402009797466292
213;head;pessimistic;z_hits_at_k;-7.398497251469794
214;tail;pessimistic;z_hits_at_k;-7.312433340259398
215;both;pessimistic;z_hits_at_k;-10.402009797466292
216;head;optimistic;adjusted_hits_at_k;-9.80370300978715e-05
217;tail;optimistic;adjusted_hits_at_k;-9.739209311969836e-05
218;both;optimistic;adjusted_hits_at_k;-9.771456177928667e-05
219;head;realistic;adjusted_hits_at_k;-9.80370300978715e-05
220;tail;realistic;adjusted_hits_at_k;-9.739209311969836e-05
221;both;realistic;adjusted_hits_at_k;-9.771456177928667e-05
222;head;pessimistic;adjusted_hits_at_k;-9.80370300978715e-05
223;tail;pessimistic;adjusted_hits_at_k;-9.739209311969836e-05
224;both;pessimistic;adjusted_hits_at_k;-9.771456177928667e-05
